is_everything_a_language_id,name,argument_name,argument_category,step_type,statement,formalization,related_candidate_name,related_candidate_id,evidence_from_rulebook,notes
neial-001,NEIAL-001,LanguageCanBeFormalized,Definition,Motivation,"To avoid the slogan 'Everything is a language', treat 'language' as a typed construct defined by testable properties (syntax, parsing, linear decoding pressure, and descriptor-role).",,,,,This keeps 'can be interpreted' separate from 'is a language system'.
neial-002,NEIAL-002,LanguageCanBeFormalized,Definition,PredicateSet,"Use the repo predicates: HasSyntax, RequiresParsing, HasLinearDecodingPressure, StableOntologyReference (spelled IsOngologyDescriptor in the dataset), plus auxiliary checks like CanBeHeld and HasIdentity.","Predicates: Syntax(x), Parse(x), SerializeMeaning(x), OntDesc(x), Tangible(x)",,,,We preserve the dataset's field name even when misspelled to match the generated schema.
neial-003,NEIAL-003,LanguageCanBeFormalized,Definition,Definition,"Operational definition: an item x counts as a Language if it has syntax, requires parsing, serializes meaning, and functions as an ontology/descriptor system.",Language(x) := HasSyntax(x) ∧ RequiresParsing(x) ∧ HasLinearDecodingPressure(x) ∧ StableOntologyReference(x),,,,This is a deliberately 'strong' definition: it matches formal languages and many natural language representations.
neial-004,NEIAL-004,LanguageCanBeFormalized,Premise,Witness,There exists at least one clear witness that satisfies the operational definition: English.,∃x (x=English ∧ Language(x)),English,english,HasSyntax=True; RequiresParsing=True; HasLinearDecodingPressure=True; IsOngologyDescriptor=True; CanBeHeld=False; HasIdentity=False; DistanceFromConcept=2; Category=Natural Language,"If any predicate is false in your current dataset for this witness, adjust the candidate record or relax the definition."
neial-005,NEIAL-005,LanguageCanBeFormalized,Premise,Witness,There exists at least one clear witness that satisfies the operational definition: Python.,∃x (x=Python ∧ Language(x)),Python,python,HasSyntax=True; RequiresParsing=True; HasLinearDecodingPressure=True; IsOngologyDescriptor=True; CanBeHeld=False; HasIdentity=False; DistanceFromConcept=2; Category=Formal Language,"If any predicate is false in your current dataset for this witness, adjust the candidate record or relax the definition."
neial-006,NEIAL-006,LanguageCanBeFormalized,Conclusion,Conclusion,"Therefore, 'language' can be formalized as a computable classification boundary over explicit predicates.",(Definition ∧ Witnesses) ⇒ Formalizable(Language),,,,This is the concession: language is formalizable (at least operationally).
neial-007,NEIAL-007,NotEverythingIsALanguage,Premise,Entailment,"If Language(x) is defined by necessary conditions, then any x that fails at least one condition is not a language.",∀x (¬(HasSyntax(x) ∧ RequiresParsing(x) ∧ HasLinearDecodingPressure(x) ∧ StableOntologyReference(x)) → ¬Language(x)),,,,This is the standard move: a definition implies exclusions.
neial-008,NEIAL-008,NotEverythingIsALanguage,Example,Counterexample,"Counterexample: a chair can be interpreted as a sign (status, design, function), but it does not constitute a language system under the operational definition.",¬Language(Chair),A Chair,,,This separates semiotic availability (can signify) from linguistic structure (has syntax/parsing/serialized meaning).
neial-009,NEIAL-009,NotEverythingIsALanguage,Example,NonLanguageExample,"Non-language example: A Thunderstorm can be meaningful, but meaning here is not generated by an explicit syntax+parsing+serialization descriptor system.",¬Language(A Thunderstorm),A Thunderstorm,a-thunderstorm,HasSyntax=False; RequiresParsing=True; HasLinearDecodingPressure=False; IsOngologyDescriptor=False; CanBeHeld=False; HasIdentity=True; DistanceFromConcept=1; Category=Physical event,These are strong candidates for 'sign vehicles' rather than 'languages'.
neial-010,NEIAL-010,NotEverythingIsALanguage,Example,NonLanguageExample,"Non-language example: A Coffee Mug can be meaningful, but meaning here is not generated by an explicit syntax+parsing+serialization descriptor system.",¬Language(A Coffee Mug),A Coffee Mug,a-coffee-mug,HasSyntax=False; RequiresParsing=False; HasLinearDecodingPressure=False; IsOngologyDescriptor=False; CanBeHeld=True; HasIdentity=True; DistanceFromConcept=1; Category=Physical Object,These are strong candidates for 'sign vehicles' rather than 'languages'.
